customer_id,name,email,signup_date
1,Denise Walker,jpeterson@gmail.com,2025-04-30
2,Anne Abbott,jason41@hotmail.com,2024-12-22
3,Jamie Mayo,johnhoffman@yahoo.com,2025-11-09
4,James Robinson,maldonadoamanda@yahoo.com,2025-12-22
5,Jeffrey Chavez,tracy15@yahoo.com,2024-09-25
6,Theresa Miller,samuel87@gmail.com,2025-02-02
7,Leah Hall,clintonhopkins@yahoo.com,2025-06-27
8,Anthony Valdez,williamsyvette@gmail.com,2026-08-01
9,Karla Lewis,brianromero@gmail.com,2025-11-17
10,Cynthia Wilson,williamanderson@yahoo.com,2026-06-25
